uc,run,rt_avg_ms
UC5_P10,run-20251201-223441_uc5_p10_m2000_r10_s256_DIRECT,1582.1666666666667
UC5_P10,run-20251201-223823_uc5_p10_m2000_r10_s256_DIRECT,149.75
UC5_P10,run-20251201-224157_uc5_p10_m2000_r10_s256_DIRECT,98.375
UC5_P10,run-20251201-224536_uc5_p10_m2000_r10_s256_DIRECT,76.14285714285714
UC5_P10,run-20251201-224909_uc5_p10_m2000_r10_s256_DIRECT,73.5
UC5_P10,run-20251201-225247_uc5_p10_m2000_r10_s256_DIRECT,78.44444444444444
UC5_P10,run-20251201-225630_uc5_p10_m2000_r10_s256_DIRECT,2293.0
UC5_P10,run-20251201-230006_uc5_p10_m2000_r10_s256_DIRECT,45.9
UC5_P10,run-20251201-230343_uc5_p10_m2000_r10_s256_DIRECT,34.0
UC5_P10,run-20251201-230719_uc5_p10_m2000_r10_s256_DIRECT,6306.444444444444
UC5_P20,run-20251202-003634_uc5_p20_m2000_r10_s256_DIRECT,16895.5
UC5_P20,run-20251202-004021_uc5_p20_m2000_r10_s256_DIRECT,76.33333333333333
UC5_P20,run-20251202-004403_uc5_p20_m2000_r10_s256_DIRECT,
UC5_P20,run-20251202-004457_uc5_p20_m2000_r10_s256_DIRECT,102.8125
UC5_P20,run-20251202-004833_uc5_p20_m2000_r10_s256_DIRECT,28152.333333333332
UC5_P20,run-20251202-005214_uc5_p20_m2000_r10_s256_DIRECT,73.91666666666667
UC5_P20,run-20251202-005553_uc5_p20_m2000_r10_s256_DIRECT,5051.538461538462
UC5_P20,run-20251202-005933_uc5_p20_m2000_r10_s256_DIRECT,4349.461538461538
UC5_P20,run-20251202-010316_uc5_p20_m2000_r10_s256_DIRECT,33524.07142857143
UC5_P20,run-20251202-010654_uc5_p20_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231222_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231322_uc5_p50_m2000_r10_s256_DIRECT,4706.12
UC5_P50,run-20251201-231705_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231750_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231849_uc5_p50_m2000_r10_s256_DIRECT,
UC5_P50,run-20251201-231949_uc5_p50_m2000_r10_s256_DIRECT,19302.09677419355
UC5_P50,run-20251201-232329_uc5_p50_m2000_r10_s256_DIRECT,1929.4848484848485
UC5_P50,run-20251201-232713_uc5_p50_m2000_r10_s256_DIRECT,7404.766666666666
UC5_P50,run-20251201-233100_uc5_p50_m2000_r10_s256_DIRECT,25579.68
UC5_P50,run-20251201-233443_uc5_p50_m2000_r10_s256_DIRECT,
